function,mode,rho,l2_f1_mean,l2_f1_std,l2_f2_mean,l2_f2_std,l2_f12_mean,l2_f12_std,signflip_f1_mean,signflip_f12_mean,quad_pp_changed_mean,mono_changed_mean
F1,indep,0.0,0.12709867506445038,,0.11697148905544832,,0.16770368337979633,,0.045454545454545456,0.07905138339920949,0.0,1.0
F1,indep,0.97,0.12916275945660788,,0.1947068028564208,,0.32001350537280626,,0.0,0.28486646884273,0.0,0.0
F1,perm_joint,0.0,0.18062314752850153,,0.1405808190734773,,0.21955410437834522,,0.09090909090909091,0.14031620553359683,0.0,0.0
F1,perm_joint,0.97,0.1372984047303078,,0.19952433923345772,,0.32492447249862444,,0.0,0.34226190476190477,0.0,0.0
F1,uniform,0.0,0.29119377627855536,,0.29670449120060055,,0.31399307989003544,,0.045454545454545456,0.13636363636363635,0.0,1.0
F1,uniform,0.97,1.0105592064537896,,1.1004603169041303,,0.26755408874482384,,0.24,0.29080118694362017,0.0,0.0
F2,indep,0.0,0.06113379318485799,,0.10901384948716092,,0.13517454131528994,,0.08333333333333333,0.02976190476190476,0.0,0.0
F2,indep,0.97,0.2432023740934647,,0.25801321281979767,,0.8989723704929972,,0.06666666666666667,0.1926605504587156,0.0,0.0
F2,perm_joint,0.0,0.14840237996482433,,0.12174414915011833,,0.19719001498529498,,0.25,0.06547619047619048,0.0,1.0
F2,perm_joint,0.97,0.22314980344757215,,0.2885356747717303,,0.8693320989646521,,0.13333333333333333,0.1926605504587156,0.0,0.0
F2,uniform,0.0,0.08674885524267054,,0.10863369922347059,,0.143633624828454,,0.08333333333333333,0.023809523809523808,0.0,0.0
F2,uniform,0.97,0.25149858305896977,,0.24415690699907716,,0.8792528450188395,,0.06666666666666667,0.1743119266055046,0.0,0.0
